col1|col2|col3|col4|col5|col6|col7|col8|col9|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20|col21|col22|col23|col24|col25|col26|col27|col28
Idade|Desligado|Viagens|Departamento|Distancia de casa|Nivel educacional|Campo da educacao|Contagem|ID do empregado|Satisfacao com ambiente|Genero|Envolvimento com o trabalho|Cargo|Satisfacao com trabalho|Renda Mensal|Numero de companhias que trabalhou|Acima de 18|Percentual de aumento salarial|Desempenho|Satisfacao com relacionamento|Horas padrao|Nivel de stock option|Anos de trabalho|Treinamentos no ultimo ano|Equilibrio vida trabalho|Anos na empresa|Anos desde a ultima promocao|Anos com atual gestor
52|No|Rarely|Research & Development|10|4|Life Sciences|1|259|3|Male|2|Manager|3|199997|0|Y|14|3|1|80||34|5|3|33|11|9
41|No|Non-Travel|Research & Development|70|1|Life Sciences|1|1035|2|Female|1|Research Director|3|19973|1|Y|22|4|2|80|20||3|3|21|5|10
56|No|Rarely|Research & Development|40|4|Technical Degree|1|1191|4|Female|3|Manager|1|19943|4|Y|13|3|4|80||28|2|3|5|4|2
50|No|Rarely|Research & Development|110|3|Life Sciences|1|226|3|Female|3|Manager|2|19926|3|Y|15|3|2|80||21|5|3|5|4|4
55|Yes|Rarely|Research & Development|20|3|Medical|1|787|4|Male|3|Manager|1|19859|5|Y|13|3|4|80||24|2|3|5|1|4
51|No|Frequently|Sales|90|3|Life Sciences|1|1282|4|Male|3|Manager|2|19847|4|Y|24|4|1|80||31|5|2|29|11|10
52| Yes|Rarely|Sales|20|1|Marketing|1|1038|1|Female|1|Manager|4|19845|1|Y|15|3|4|80||33|3|3|32|6|9
40| No|Rarely|Sales|70|4|Medical|1|1740|2|Male|3|Manager|2|19833|1|Y|14|3|2|80||21|3|2|21|12|8
43|No|Rarely|Research & Development|30|3|Life Sciences|1|1255|3|Male|1|Research Director|4|197|3|Y|14|3|2|80||25|2|3|8|0|7
56|No|Rarely|Human Resources|80|4|Life Sciences|1|1338|4|Male|3|Manager|2|19717|6|Y|14|3|1|80||36|4|3|7|7|7
58|No|Rarely|Research & Development|10|3|Medical|1|1423|4|Female|3|Research Director|1|19701|3|Y|21|4|3|80||32|3|3|9|1|5
