,idade,desligado,viagens,departamento,distancia_de_casa,nivel_educacional,campo_da_educacao,id_do_empregado,satisfacao_com_ambiente,genero,envolvimento_com_o_trabalho,cargo,satisfacao_com_trabalho,renda_mensal,numero_de_companhias_que_trabalhou,percentual_de_aumento_salarial,desempenho,satisfacao_com_relacionamento,anos_de_trabalho,treinamentos_no_ultimo_ano,equilibrio_vida_trabalho,anos_na_empresa,anos_desde_a_ultima_promocao,anos_com_atual_gestor,target
8,43.0,no,Rarely,Research & Development,30.0,3,Life Sciences,1255,3,Male,1,Research Director,4,197.0,3,14,3,2,25.0,2,3,8,0,7,0
115,40.0,no,Rarely,Human Resources,60.0,2,Medical,1550,3,Male,3,Manager,4,16437.0,1,21,4,4,21.0,2,3,21,7,7,0
116,31.0,no,Rarely,Research & Development,80.0,5,Life Sciences,1430,1,Female,3,Research Director,2,16422.0,3,11,3,3,9.0,3,4,3,1,0,0
117,49.0,no,Rarely,Research & Development,220.0,4,Other,1655,1,Female,3,Research Director,2,16413.0,3,16,3,2,27.0,2,3,4,1,2,0
118,44.0,no,Rarely,Research & Development,280.0,3,Life Sciences,1523,4,Male,3,Research Director,1,13492.333333333334,3,13,3,3,24.0,1,4,20,14,17,0
119,51.0,no,Rarely,Sales,260.0,4,Marketing,851,1,Female,3,Manager,3,16307.0,2,14,3,3,29.0,2,2,20,4,17,0
120,58.0,no,Non-Travel,Sales,20.0,3,Medical,1824,2,Male,3,Manager,2,16291.0,4,22,4,4,37.0,0,2,16,14,14,0
121,33.0,no,Rarely,Research & Development,10.0,5,Medical,612,1,Female,4,Research Director,3,16184.0,4,19,3,3,10.0,2,3,6,0,5,0
122,29.0,no,Rarely,Research & Development,10.0,3,Life Sciences,1264,4,Female,2,Research Director,4,16124.0,3,14,3,2,9.0,2,2,7,1,7,0
123,43.0,no,Rarely,Sales,160.0,3,Marketing,327,4,Female,3,Manager,4,16064.0,5,22,4,3,18.0,3,3,17,1,9,0
124,54.0,no,Frequently,Research & Development,110.0,4,Medical,1520,2,Female,3,Manager,4,16032.0,3,20,4,1,26.0,2,3,14,1,12,0
125,41.0,no,Rarely,Sales,20.0,4,Life Sciences,410,4,Male,3,Manager,2,16015.0,1,19,3,2,22.0,2,3,22,0,4,0
126,42.0,no,Rarely,Research & Development,230.0,5,Life Sciences,468,1,Female,3,Research Director,4,15992.0,2,14,3,2,16.0,2,3,1,0,0,0
127,47.0,no,Rarely,Sales,20.0,4,Life Sciences,1676,2,Female,4,Manager,2,15972.0,6,14,3,3,29.0,2,3,3,1,2,0
128,58.0,no,Frequently,Research & Development,150.0,4,Life Sciences,1837,1,Male,3,Research Director,3,15787.0,2,14,3,2,23.0,3,3,2,2,2,0
129,53.0,no,Rarely,Sales,20.0,4,Life Sciences,23,1,Female,2,Manager,4,15427.0,2,16,3,3,31.0,3,3,25,3,7,0
130,48.0,no,Rarely,Research & Development,10.0,4,Life Sciences,664,4,Female,2,Manager,1,15402.0,7,11,3,1,21.0,3,1,3,0,2,0
131,49.0,no,Rarely,Research & Development,10.0,3,Life Sciences,1677,3,Male,3,Manager,3,15379.0,4,14,3,1,23.0,2,3,8,0,0,0
132,48.0,no,Frequently,Research & Development,40.0,5,Medical,1644,3,Male,2,Manager,4,15202.0,2,25,4,2,23.0,3,3,2,2,2,0
